symbol,fiscal_year,dividend_pct
SIKLES,079-080,6.0
SIKLES,081-082,0.79
SINDU,069-070,4.5
SINDU,070-071,0.4
SINDU,071-072,0.66
SINDU,072-073,10.0
SINDU,075-076,0.0
SJLIC,079-080,24.74
SJLIC,080-081,20.0
SJLIC,081-082,13.0
SKBBL,069-070,0.0
SKBBL,070-071,15.78
SKBBL,071-072,1.31
SKBBL,072-073,1.32
SKBBL,073-074,1.32
SKBBL,074-075,1.31
SKBBL,075-076,0.0
SKBBL,076-077,1.32
SKBBL,077-078,1.32
SKBBL,078-079,1.37
SKBBL,079-080,0.75
SKBBL,080-081,0.7
SKBBL,081-082,0.75
SLBBL,069-070,0.0
SLBBL,070-071,20.0
SLBBL,071-072,1.8
SLBBL,072-073,1.6
SLBBL,073-074,0.88
SLBBL,074-075,1.05
SLBBL,075-076,1.4
SLBBL,076-077,0.65
SLBBL,078-079,1.16
SLBBL,079-080,0.37
SLBBL,080-081,0.73
SLBBL,081-082,0.75
SLBSL,075-076,1.68
SLBSL,078-079,5.0
SMATA,072-073,1.0
SMATA,073-074,11.58
SMATA,074-075,7.36
SMATA,075-076,5.53
SMATA,076-077,6.32
SMATA,077-078,5.0
SMATA,078-079,3.0
SMATA,079-080,0.29
SMATA,080-081,0.26
SMATA,081-082,0.26
SMB,072-073,1.0
SMB,075-076,0.53
SMB,077-078,1.58
SMB,078-079,0.58
SMB,079-080,0.68
